baños_familiares,area_bruta,parqueaderos,alcobas_familiares,estrato,juegos_infantiles,balcon,camaras_cctv,ascensor,unidad_cerrada_conjunto,zonas_verdes,turco,sauna,calentador_de_agua,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,tipo_cocina_freq,tipo_pisos_freq,precio,precio_pred
0.2,0.033771106941838644,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,900000.0,1134504.5921359635
0.4,0.11819887429643529,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,1600000.0,1923029.8323318586
0.2,0.061913696060037535,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,1650000.0,1377584.1756434592
0.2,0.056285178236397754,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,1800000.0,2060545.9666791274
0.4,0.23827392120075044,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2790213430504947,5500000.0,4930370.957903982
0.2,0.07129455909943715,0.0,0.2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06298802706923488,1350000.0,1285465.8450831545
0.4,0.17073170731707316,0.3333333333333333,0.6000000000000001,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2790213430504947,3200000.0,2979291.4283168274
0.4,0.07692307692307693,0.3333333333333333,0.4,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0000000000000002,2200000.0,1851315.0811040797
0.2,0.020637898686679177,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04228406216118546,1.0000000000000002,1300000.0,1249305.0653382004
0.6000000000000001,0.23076923076923075,0.6666666666666666,0.6000000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1624154086413327,4900000.0,4499082.773512028
0.2,0.061913696060037535,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2790213430504947,1500000.0,1376627.4039471734
0.2,0.07317073170731708,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09215757137694257,1.0000000000000002,920000.0,1141021.2514731514
0.2,0.1519699812382739,0.0,0.2,0.8333333333333333,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,4000000.0,3485806.7458086265
0.4,0.20825515947467166,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2790213430504947,4500000.0,4660184.657956839
0.2,0.08067542213883677,0.0,0.6000000000000001,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000002,1100000.0,1403209.5764488778
0.2,0.061913696060037535,0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,900000.0,1111815.643807337
0.4,0.11819887429643529,0.3333333333333333,0.6000000000000001,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2790213430504947,1800000.0,2138194.203634139
0.6000000000000001,0.21013133208255158,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2790213430504947,6000000.0,5266793.521010506
0.4,0.11444652908067542,0.3333333333333333,0.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,5800000.0,3598076.547556786
0.6000000000000001,0.2626641651031895,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.019781363872982842,4000000.0,4463871.045343771
0.2,0.039399624765478425,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09215757137694257,0.2790213430504947,1150000.0,1254902.505460618
0.2,0.07692307692307693,0.0,0.4,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2790213430504947,966150.0,1177337.0419646027
0.4,0.11444652908067542,0.3333333333333333,0.6000000000000001,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0000000000000002,2100000.0,2134408.943734138
0.4,0.2120075046904315,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2790213430504947,4200000.0,4740363.042469917
0.8,0.28705440900562856,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.09474232170744405,6600000.0,5583506.565693116
0.4,0.174484052532833,0.3333333333333333,0.6000000000000001,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,2400000.0,2513459.8779379106
0.6000000000000001,0.14634146341463414,0.3333333333333333,0.4,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2790213430504947,4600000.0,4602603.478126565
0.4,0.09943714821763602,0.6666666666666666,0.2,0.8333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.2790213430504947,1900000.0,3665462.1266491134
0.2,0.08067542213883677,0.0,0.6000000000000001,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.09215757137694257,1.0000000000000002,1100000.0,1098376.0851839099
0.2,0.07129455909943715,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,1500000.0,1112982.4928072784
0.6000000000000001,0.2607879924953096,0.6666666666666666,0.6000000000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,6200000.0,4776344.130743842
0.4,0.14634146341463414,0.3333333333333333,0.6000000000000001,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0000000000000002,1900000.0,2675741.2722532223
0.2,0.174484052532833,0.0,0.6000000000000001,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04228406216118546,0.06298802706923488,1200000.0,1722436.4230210993
0.2,0.058161350844277676,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0000000000000002,3500000.0,2588681.3959157723
0.4,0.19324577861163225,0.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,1500000.0,2411757.8093139194
0.4,0.13133208255159473,0.3333333333333333,0.6000000000000001,0.6666666666666666,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1624154086413327,2800000.0,3136089.853477188
0.4,0.0900562851782364,0.3333333333333333,0.4,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2790213430504947,1800000.0,1897925.8493200869
0.6000000000000001,0.18386491557223264,0.6666666666666666,0.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1624154086413327,4300000.0,5217301.819151955
0.2,0.08067542213883677,0.0,0.6000000000000001,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,950000.0,1135436.8986770127
1.0,0.3902439024390244,0.6666666666666666,0.6000000000000001,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1624154086413327,4800000.0,5853410.171357911
