oob_r2,R2_train,R2_test,max_depth,max_features,n_estimators,diff
0.6098192520901796,0.6366354288361964,0.6395990165727066,3,3,100,0.002963587736510176
0.615998470271147,0.6454172491887069,0.6490867116690944,3,5,100,0.0036694624803874643
0.6137767563076483,0.6445955956190792,0.6492497628085729,3,5,60,0.004654167189493741
0.6023466796408827,0.6328147248160474,0.6380232813528858,3,3,50,0.005208556536838382
0.6030648671809542,0.6330823233211555,0.6383409923212247,3,3,60,0.005258669000069105
0.6057902866050575,0.6344483588248155,0.639791695502036,3,3,70,0.005343336677220423
0.6138641081210674,0.6441198758072957,0.6496393446497082,3,5,70,0.0055194688424125005
0.612664821188881,0.6446349166848336,0.6504348325897394,3,5,50,0.005799915904905806
0.609715000393201,0.6428260525888079,0.6491738041986952,3,5,40,0.00634775160988732
0.6123471361110361,0.6450327068415109,0.6520972371184541,3,5,45,0.007064530276943204
0.6041445714073945,0.6347779414225837,0.6427085056966654,3,3,45,0.007930564274081675
0.6052041105838768,0.6367626209879175,0.6457109998215361,3,3,40,0.008948378833618653
0.5950967593922485,0.6242599939402604,0.63431443835259,3,10,100,0.01005444441232961
0.5950967593922485,0.6242599939402604,0.63431443835259,3,7,100,0.01005444441232961
0.594847739957082,0.6245089498039309,0.6348017358319695,3,10,45,0.010292786028038625
0.594847739957082,0.6245089498039309,0.6348017358319695,3,7,45,0.010292786028038625
0.5939865911153386,0.6234405305891788,0.6338276013186807,3,7,50,0.010387070729501846
0.5939865911153386,0.6234405305891788,0.6338276013186808,3,10,50,0.010387070729501957
0.5947746169397125,0.6253538612129123,0.6359134572277256,3,7,70,0.010559596014813377
0.5947746169397125,0.6253538612129123,0.6359134572277256,3,10,70,0.010559596014813377
0.5950317098646826,0.625265498449558,0.6360662475151273,3,10,40,0.01080074906556927
0.5950317098646826,0.625265498449558,0.6360662475151273,3,7,40,0.01080074906556927
0.5937859570009123,0.6241910374830291,0.6350154397517197,3,7,60,0.010824402268690636
0.5937859570009123,0.624191037483029,0.6350154397517197,3,10,60,0.010824402268690747
0.6770799914006289,0.7341283287044404,0.7129949170318707,5,3,40,0.02113341167256977
0.6781939566505741,0.7351876013158631,0.7134044187612616,5,3,45,0.021783182554601543
0.6770314399796471,0.7342720912894362,0.7111310548359127,5,3,50,0.0231410364535235
0.6779047790464252,0.7346111388331432,0.7106207840952535,5,3,60,0.023990354737889685
0.6785529830895234,0.7348484618224855,0.7106115058979301,5,3,70,0.024236955924555437
0.6804834623998053,0.7355262447986815,0.7109546736308081,5,3,100,0.02457157116787334
0.6839141868751171,0.7457248822836023,0.7192427897963847,5,5,70,0.026482092487217668
0.6825357752551345,0.7457927433084106,0.7192668117720629,5,5,50,0.026525931536347747
0.6832849396439216,0.7468096710849769,0.7201772349384361,5,5,45,0.02663243614654076
0.6855217249166006,0.7466327754224887,0.718832546115026,5,5,100,0.02780022930746273
0.6841579238420916,0.746400692668606,0.7185831167241062,5,5,60,0.02781757594449974
0.6812077814798176,0.7464977382291742,0.7184196214873497,5,5,40,0.028078116741824477
0.6738510021716873,0.743629844564601,0.7090879234616871,5,10,60,0.034541921102913875
0.6738510021716873,0.743629844564601,0.7090879234616871,5,7,60,0.034541921102913875
0.6715977658650499,0.7434258353636967,0.7088641583097743,5,10,45,0.034561677053922324
0.6715977658650499,0.7434258353636967,0.7088641583097743,5,7,45,0.034561677053922324
0.67130308125756,0.7432485566307354,0.7082351357158029,5,10,50,0.035013420914932536
0.67130308125756,0.7432485566307354,0.7082351357158029,5,7,50,0.035013420914932536
0.6704442106152801,0.7433119949395703,0.7080584218327115,5,10,40,0.03525357310685884
0.6704442106152801,0.7433119949395703,0.7080584218327115,5,7,40,0.03525357310685884
0.6779662973516387,0.7444941899584369,0.708939945126531,5,10,100,0.035554244831905835
0.6779662973516387,0.7444941899584369,0.708939945126531,5,7,100,0.035554244831905835
0.675957225409004,0.74389303896035,0.708254856360496,5,10,70,0.03563818259985396
0.675957225409004,0.74389303896035,0.708254856360496,5,7,70,0.03563818259985396
