oob_r2,R2_train,R2_test,max_depth,max_features,n_estimators,diff
0.4259756006546078,0.46241633533575177,0.46240340898128707,3,10,45,1.2926354464704026e-05
0.4271457366003507,0.4650124037337391,0.4649094578197508,3,10,70,0.00010294591398829489
0.4254161736699157,0.46311065282271635,0.463270673072818,3,10,40,0.00016002025010164456
0.42625561698219006,0.463422893015746,0.46181692837561505,3,10,60,0.0016059646401309635
0.42594800160907875,0.4631736552287212,0.461296167197363,3,10,50,0.001877488031358232
0.4382145036800512,0.47602600854761745,0.4736091078337267,3,7,70,0.0024169007138907794
0.4376820111460097,0.4758381656821208,0.4733186031672991,3,7,60,0.0025195625148216605
0.42805535684190876,0.4665919063260381,0.4691202897104598,3,10,100,0.0025283833844217396
0.4390385035258364,0.47576526770236527,0.47183911774421783,3,7,100,0.00392614995814744
0.43524065185516103,0.4718148043423236,0.4673319730048747,3,7,45,0.004482831337448867
0.4356358229717554,0.4722442517823331,0.4672925592671541,3,7,40,0.004951692515179018
0.43435782856830973,0.47211426604660967,0.4664396753915365,3,7,50,0.005674590655073142
0.43272007171105453,0.4680167581309117,0.461244137528373,3,5,60,0.006772620602538693
0.4327783833410451,0.4684447102663929,0.4612573876670515,3,5,70,0.007187322599341406
0.432432008353543,0.46718806801593293,0.4596696033941412,3,5,50,0.007518464621791732
0.43350294113560417,0.46869359856855086,0.4605332579199144,3,5,100,0.008160340648636466
0.430122774367523,0.4665977201157179,0.45830831336408606,3,5,45,0.008289406751631812
0.42786437441190983,0.4661576783425273,0.4576674917636536,3,5,40,0.008490186578873682
0.39245902129783805,0.42544756329614286,0.41200833954541205,3,3,70,0.013439223750730811
0.39614125323320226,0.42812888447474573,0.4144528235228574,3,3,60,0.013676060951888336
0.39875492056364825,0.4348182322459132,0.41989896274941885,3,3,40,0.014919269496494358
0.3914174678585596,0.4268628151843872,0.41159922329777887,3,3,45,0.015263591886608308
0.3944968247388254,0.4270647382242694,0.4112056421738144,3,3,100,0.01585909605045499
0.39802611709980795,0.43092324287083195,0.41361647758902753,3,3,50,0.017306765281804415
0.48545511064093916,0.5885053955975486,0.5492372821888758,5,10,40,0.039268113408672756
0.4871281013727252,0.5888211588175947,0.548920923408526,5,10,45,0.03990023540906862
0.4869097669680399,0.5883744403909302,0.5454163788117425,5,10,50,0.04295806157918769
0.4894629359422681,0.5904187421796845,0.5470978400986701,5,10,100,0.043320902081014356
0.4883947467740605,0.588727922723002,0.5451474784549495,5,10,70,0.04358044426805252
0.48771928800347897,0.588267189228842,0.5446344393707025,5,10,60,0.043632749858139475
0.48564129834493963,0.5756361647069226,0.5314113779281684,5,5,45,0.04422478677875419
0.4879068137430085,0.5769261254948951,0.5323499510328115,5,5,50,0.04457617446208362
0.4839494476684517,0.5748422708235158,0.5293756767179136,5,5,40,0.045466594105602165
0.4915860377862922,0.578808984645627,0.5331239807124775,5,5,60,0.04568500393314956
0.49318863665606616,0.5802258217701664,0.5335644768393875,5,5,70,0.04666134493077889
0.49565349293239624,0.5890513550709111,0.5422170713696595,5,7,100,0.046834283701251644
0.4904360537487088,0.5845412211449734,0.5362213262256943,5,7,40,0.04831989491927913
0.4927146340514652,0.5855687452054239,0.5372145507881145,5,7,45,0.04835419441730937
0.49486761620050956,0.5879560812999447,0.5394852697140401,5,7,70,0.048470811585904605
0.4947363039056054,0.588462387379223,0.5399417856662656,5,7,60,0.048520601712957356
0.4934023837784922,0.5807038767666324,0.5320479113833391,5,5,100,0.04865596538329331
0.4691281158729519,0.5580270711623602,0.5083644838894275,5,3,40,0.04966258727293271
