oob_r2,R2_train,R2_test,max_depth,max_features,n_estimators,diff
0.7015713976513349,0.7166442741381867,0.7155676384004479,3,7,100,0.0010766357377387514
0.6983964477361466,0.7168098987318852,0.7146310264297335,3,7,60,0.0021788723021516354
0.6780042389098719,0.6961988834807643,0.6987125452616672,3,5,40,0.0025136617809028428
0.7001435342210733,0.7180206771924289,0.7152243440120067,3,7,70,0.0027963331804221614
0.6987035359412272,0.717495670544198,0.714345058278196,3,7,50,0.0031506122660019953
0.6821657730557203,0.6980530726703538,0.7012234706245062,3,5,45,0.003170397954152415
0.698529579991945,0.7166509019655667,0.7130252138353378,3,7,45,0.003625688130228899
0.707392249006587,0.7213007311627606,0.717096205885072,3,10,100,0.004204525277688664
0.6825790141228333,0.6975138869371276,0.7020234126422032,3,5,50,0.004509525705075679
0.6969246251119436,0.7164187597835932,0.7118054414221342,3,7,40,0.004613318361458951
0.7066324774215198,0.7216362988800485,0.7166200417091287,3,10,50,0.005016257170919802
0.7068187471966154,0.7219341632762211,0.7168401215220386,3,10,45,0.005094041754182488
0.6852126661114681,0.6983416747040005,0.7035502609154607,3,5,60,0.005208586211460142
0.7072870677335839,0.721370318083852,0.7160259832929277,3,10,60,0.005344334790924332
0.6849673468440809,0.698394716748123,0.7038633515702348,3,5,100,0.005468634822111795
0.7076947748517558,0.7217578904945525,0.7162288717521499,3,10,70,0.005529018742402636
0.6862403650159603,0.6992219389347744,0.7048107582835812,3,5,70,0.005588819348806839
0.7046962525253908,0.7212613613856615,0.7150053839597924,3,10,40,0.006255977425869141
0.6412167300497436,0.6535032200587,0.6607299963906081,3,3,70,0.007226776331908158
0.7127441993157348,0.7418047460592152,0.7339012847516331,5,3,100,0.007903461307582127
0.6963572317190336,0.7304278807958398,0.7224441531210816,5,3,40,0.00798372767475819
0.6442822594851221,0.6556954263486559,0.6637572657997468,3,3,100,0.008061839451090957
0.6329218694335645,0.648543615091739,0.6568682735108132,3,3,45,0.00832465841907426
0.7094535919671534,0.7393914599957697,0.7310125152491608,5,3,70,0.00837894474660894
0.7046057774758929,0.7364398925030711,0.7279177982102696,5,3,60,0.008522094292801485
0.6226498788607262,0.6379019852482453,0.6467295073349152,3,3,40,0.008827522086669926
0.7033375430606728,0.7358257514898188,0.7266829351982034,5,3,45,0.009142816291615397
0.633649429769917,0.6491317278994342,0.6586521797597348,3,3,50,0.009520451860300594
0.6341462056286034,0.648038875689892,0.6580788935574649,3,3,60,0.010040017867572804
0.7036713758401629,0.7354226405471149,0.7253266481485932,5,3,50,0.01009599239852177
0.737512169554541,0.7724126166128316,0.753020756266361,5,5,40,0.019391860346470557
0.7426284768747384,0.7757863278332021,0.7563498850768091,5,5,100,0.019436442756393002
0.7388388123235959,0.774254424921964,0.7535828111382931,5,5,45,0.020671613783670884
0.7393226351396517,0.7745404046332678,0.753605862161254,5,5,50,0.020934542472013762
0.7408827893216638,0.7761241384720725,0.7548100162149385,5,5,60,0.021314122257134027
0.74278106039615,0.776227887057029,0.7546487811959546,5,5,70,0.021579105861074477
0.7482510515245525,0.7844000210832803,0.7617622678065761,5,7,60,0.022637753276704253
0.7476932931836768,0.7845580515278078,0.7616454572166901,5,7,50,0.022912594311117696
0.7498664929594836,0.7853671377346293,0.7623712520855046,5,7,70,0.022995885649124692
0.7432966018696807,0.7821741383448322,0.7591567987247957,5,7,40,0.023017339620036492
0.7471180021226584,0.7842200558090234,0.7611458298478857,5,7,45,0.02307422596113773
0.75120595074418,0.7861773597367272,0.7621566972812706,5,7,100,0.024020662455456643
0.7562497236429194,0.7962586941169063,0.7635401746756296,5,10,40,0.03271851944127668
0.7610445256727346,0.7983729573852295,0.7644894687836686,5,10,100,0.033883488601560874
0.7584928619820449,0.7979963669579172,0.7639898503110015,5,10,45,0.034006516646915674
0.7608727393989994,0.7986752704117637,0.7646339072232259,5,10,70,0.03404136318853779
0.7586295417331255,0.7978730562545135,0.763257936415922,5,10,60,0.03461511983859156
0.7582304502843942,0.7980990124799072,0.7631220963519473,5,10,50,0.034976916127959945
0.74628330218814,0.8090101993321043,0.7672489655282367,7,3,100,0.04176123380386754
0.7439517086656732,0.8082218635688682,0.7644641143396806,7,3,70,0.043757749229187515
